"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	"Male"	"M"	60	122787	48.9	6.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Female"	"F"	38	119487	31.8	5.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"2009"	"2009"	"Male"	"M"	66	124132	53.2	6.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2010"	"2010"	"Female"	"F"	30	120101	25.0	4.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2010"	"2010"	"Male"	"M"	50	124800	40.1	5.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2011"	"2011"	"Female"	"F"	49	119896	40.9	5.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2011"	"2011"	"Male"	"M"	50	124582	40.1	5.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2012"	"2012"	"Female"	"F"	43	120004	35.8	5.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2012"	"2012"	"Male"	"M"	50	124740	40.1	5.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2013"	"2013"	"Female"	"F"	31	116743	26.6	4.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2013"	"2013"	"Male"	"M"	52	121922	42.7	5.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2014"	"2014"	"Female"	"F"	33	116244	28.4	4.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2014"	"2014"	"Male"	"M"	40	120607	33.2	5.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"2015"	"2015"	"Female"	"F"	38	115443	32.9	5.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2015"	"2015"	"Male"	"M"	40	119513	33.5	5.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2016"	"2016"	"Female"	"F"	28	115098	24.3	4.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2016"	"2016"	"Male"	"M"	46	119198	38.6	5.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2017"	"2017"	"Female"	"F"	40	115883	34.5	5.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2017"	"2017"	"Male"	"M"	53	119769	44.3	6.1
	"Alabama"	"01"	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	32	116211	27.5	4.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	57	120253	47.4	6.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	45	116821	38.5	5.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	68	120635	56.4	6.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020 "	"2020"	"Female"	"F"	40	115270	34.7	5.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020 "	"2020"	"Male"	"M"	50	120404	41.5	5.9
	"Alabama"	"01"	"5-14 years"	"5-14"	"1999"	"1999"	"Female"	"F"	84	308159	27.3	3.0
	"Alabama"	"01"	"5-14 years"	"5-14"	"1999"	"1999"	"Male"	"M"	100	324969	30.8	3.1
	"Alabama"	"01"	"5-14 years"	"5-14"	"2000"	"2000"	"Female"	"F"	46	309187	14.9	2.2
	"Alabama"	"01"	"5-14 years"	"5-14"	"2000"	"2000"	"Male"	"M"	92	326410	28.2	2.9
	"Alabama"	"01"	"5-14 years"	"5-14"	"2001"	"2001"	"Female"	"F"	65	307375	21.1	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2001"	"2001"	"Male"	"M"	96	323766	29.7	3.0
	"Alabama"	"01"	"5-14 years"	"5-14"	"2002"	"2002"	"Female"	"F"	59	306012	19.3	2.5
	"Alabama"	"01"	"5-14 years"	"5-14"	"2002"	"2002"	"Male"	"M"	91	321628	28.3	3.0
	"Alabama"	"01"	"5-14 years"	"5-14"	"2003"	"2003"	"Female"	"F"	51	305540	16.7	2.3
	"Alabama"	"01"	"5-14 years"	"5-14"	"2003"	"2003"	"Male"	"M"	82	320250	25.6	2.8
	"Alabama"	"01"	"5-14 years"	"5-14"	"2004"	"2004"	"Female"	"F"	58	304636	19.0	2.5
	"Alabama"	"01"	"5-14 years"	"5-14"	"2004"	"2004"	"Male"	"M"	70	319146	21.9	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2005"	"2005"	"Female"	"F"	51	303571	16.8	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2005"	"2005"	"Male"	"M"	76	317907	23.9	2.7
	"Alabama"	"01"	"5-14 years"	"5-14"	"2006"	"2006"	"Female"	"F"	55	305683	18.0	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2006"	"2006"	"Male"	"M"	70	319765	21.9	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2007"	"2007"	"Female"	"F"	53	306256	17.3	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2007"	"2007"	"Male"	"M"	68	320164	21.2	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2008"	"2008"	"Female"	"F"	58	305970	19.0	2.5
	"Alabama"	"01"	"5-14 years"	"5-14"	"2008"	"2008"	"Male"	"M"	67	320215	20.9	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2009"	"2009"	"Female"	"F"	52	306626	17.0	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2009"	"2009"	"Male"	"M"	63	320310	19.7	2.5
	"Alabama"	"01"	"5-14 years"	"5-14"	"2010"	"2010"	"Female"	"F"	60	307127	19.5	2.5
	"Alabama"	"01"	"5-14 years"	"5-14"	"2010"	"2010"	"Male"	"M"	78	320757	24.3	2.8
	"Alabama"	"01"	"5-14 years"	"5-14"	"2011"	"2011"	"Female"	"F"	56	306956	18.2	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2011"	"2011"	"Male"	"M"	69	319927	21.6	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2012"	"2012"	"Female"	"F"	41	307422	13.3	2.1
	"Alabama"	"01"	"5-14 years"	"5-14"	"2012"	"2012"	"Male"	"M"	72	320046	22.5	2.7
	"Alabama"	"01"	"5-14 years"	"5-14"	"2013"	"2013"	"Female"	"F"	46	305878	15.0	2.2
	"Alabama"	"01"	"5-14 years"	"5-14"	"2013"	"2013"	"Male"	"M"	71	318034	22.3	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2014"	"2014"	"Female"	"F"	50	304690	16.4	2.3
	"Alabama"	"01"	"5-14 years"	"5-14"	"2014"	"2014"	"Male"	"M"	79	316814	24.9	2.8
	"Alabama"	"01"	"5-14 years"	"5-14"	"2015"	"2015"	"Female"	"F"	53	302169	17.5	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2015"	"2015"	"Male"	"M"	59	313832	18.8	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2016"	"2016"	"Female"	"F"	50	298976	16.7	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2016"	"2016"	"Male"	"M"	46	311022	14.8	2.2
	"Alabama"	"01"	"5-14 years"	"5-14"	"2017"	"2017"	"Female"	"F"	50	298740	16.7	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2017"	"2017"	"Male"	"M"	66	311004	21.2	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2018"	"2018"	"Female"	"F"	43	298051	14.4	2.2
	"Alabama"	"01"	"5-14 years"	"5-14"	"2018"	"2018"	"Male"	"M"	63	310344	20.3	2.6
	"Alabama"	"01"	"5-14 years"	"5-14"	"2019"	"2019"	"Female"	"F"	50	298321	16.8	2.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2019"	"2019"	"Male"	"M"	76	310145	24.5	2.8
	"Alabama"	"01"	"5-14 years"	"5-14"	"2020 "	"2020"	"Female"	"F"	35	299382	11.7	2.0
	"Alabama"	"01"	"5-14 years"	"5-14"	"2020 "	"2020"	"Male"	"M"	69	310232	22.2	2.7
	"Alabama"	"01"	"15-24 years"	"15-24"	"1999"	"1999"	"Female"	"F"	234	316324	74.0	4.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"1999"	"1999"	"Male"	"M"	518	317647	163.1	7.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2000"	"2000"	"Female"	"F"	193	315225	61.2	4.4
	"Alabama"	"01"	"15-24 years"	"15-24"	"2000"	"2000"	"Male"	"M"	515	316220	162.9	7.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2001"	"2001"	"Female"	"F"	175	319085	54.8	4.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2001"	"2001"	"Male"	"M"	531	321522	165.2	7.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2002"	"2002"	"Female"	"F"	233	319841	72.8	4.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"2002"	"2002"	"Male"	"M"	489	323720	151.1	6.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"2003"	"2003"	"Female"	"F"	179	321396	55.7	4.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2003"	"2003"	"Male"	"M"	519	327242	158.6	7.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2004"	"2004"	"Female"	"F"	225	322995	69.7	4.6
	"Alabama"	"01"	"15-24 years"	"15-24"	"2004"	"2004"	"Male"	"M"	560	328849	170.3	7.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2005"	"2005"	"Female"	"F"	191	325373	58.7	4.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2005"	"2005"	"Male"	"M"	536	332107	161.4	7.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2006"	"2006"	"Female"	"F"	215	327579	65.6	4.5
	"Alabama"	"01"	"15-24 years"	"15-24"	"2006"	"2006"	"Male"	"M"	625	335663	186.2	7.4
	"Alabama"	"01"	"15-24 years"	"15-24"	"2007"	"2007"	"Female"	"F"	201	330436	60.8	4.3
	"Alabama"	"01"	"15-24 years"	"15-24"	"2007"	"2007"	"Male"	"M"	632	338136	186.9	7.4
	"Alabama"	"01"	"15-24 years"	"15-24"	"2008"	"2008"	"Female"	"F"	177	333638	53.1	4.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2008"	"2008"	"Male"	"M"	530	340693	155.6	6.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"2009"	"2009"	"Female"	"F"	193	336154	57.4	4.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2009"	"2009"	"Male"	"M"	438	342574	127.9	6.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2010"	"2010"	"Female"	"F"	191	336122	56.8	4.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2010"	"2010"	"Male"	"M"	440	342671	128.4	6.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2011"	"2011"	"Female"	"F"	154	337336	45.7	3.7
	"Alabama"	"01"	"15-24 years"	"15-24"	"2011"	"2011"	"Male"	"M"	493	343899	143.4	6.5
	"Alabama"	"01"	"15-24 years"	"15-24"	"2012"	"2012"	"Female"	"F"	159	334944	47.5	3.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"2012"	"2012"	"Male"	"M"	432	341668	126.4	6.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2013"	"2013"	"Female"	"F"	177	333985	53.0	4.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2013"	"2013"	"Male"	"M"	439	342198	128.3	6.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2014"	"2014"	"Female"	"F"	172	332363	51.8	3.9
	"Alabama"	"01"	"15-24 years"	"15-24"	"2014"	"2014"	"Male"	"M"	423	338835	124.8	6.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2015"	"2015"	"Female"	"F"	189	328292	57.6	4.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2015"	"2015"	"Male"	"M"	453	334890	135.3	6.4
	"Alabama"	"01"	"15-24 years"	"15-24"	"2016"	"2016"	"Female"	"F"	200	323305	61.9	4.4
	"Alabama"	"01"	"15-24 years"	"15-24"	"2016"	"2016"	"Male"	"M"	541	330571	163.7	7.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2017"	"2017"	"Female"	"F"	176	320303	54.9	4.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2017"	"2017"	"Male"	"M"	477	328101	145.4	6.7
	"Alabama"	"01"	"15-24 years"	"15-24"	"2018"	"2018"	"Female"	"F"	182	317261	57.4	4.3
	"Alabama"	"01"	"15-24 years"	"15-24"	"2018"	"2018"	"Male"	"M"	489	323639	151.1	6.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"2019"	"2019"	"Female"	"F"	176	315228	55.8	4.2
	"Alabama"	"01"	"15-24 years"	"15-24"	"2019"	"2019"	"Male"	"M"	447	320479	139.5	6.6
	"Alabama"	"01"	"15-24 years"	"15-24"	"2020 "	"2020"	"Female"	"F"	179	314320	56.9	4.3
	"Alabama"	"01"	"15-24 years"	"15-24"	"2020 "	"2020"	"Male"	"M"	549	319071	172.1	7.3
	"Alabama"	"01"	"25-34 years"	"25-34"	"1999"	"1999"	"Female"	"F"	323	308250	104.8	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"1999"	"1999"	"Male"	"M"	570	300073	190.0	8.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2000"	"2000"	"Female"	"F"	267	305074	87.5	5.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"2000"	"2000"	"Male"	"M"	587	297941	197.0	8.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"2001"	"2001"	"Female"	"F"	297	298199	99.6	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2001"	"2001"	"Male"	"M"	554	290750	190.5	8.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"2002"	"2002"	"Female"	"F"	311	295326	105.3	6.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2002"	"2002"	"Male"	"M"	601	288345	208.4	8.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"2003"	"2003"	"Female"	"F"	264	295047	89.5	5.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"2003"	"2003"	"Male"	"M"	614	288062	213.1	8.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"2004"	"2004"	"Female"	"F"	297	296051	100.3	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2004"	"2004"	"Male"	"M"	587	287709	204.0	8.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"2005"	"2005"	"Female"	"F"	304	297227	102.3	5.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"2005"	"2005"	"Male"	"M"	643	288604	222.8	8.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2006"	"2006"	"Female"	"F"	327	300430	108.8	6.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2006"	"2006"	"Male"	"M"	730	290631	251.2	9.3
	"Alabama"	"01"	"25-34 years"	"25-34"	"2007"	"2007"	"Female"	"F"	306	302088	101.3	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2007"	"2007"	"Male"	"M"	650	291564	222.9	8.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"2008"	"2008"	"Female"	"F"	286	304221	94.0	5.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"2008"	"2008"	"Male"	"M"	696	294555	236.3	9.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2009"	"2009"	"Female"	"F"	320	306876	104.3	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2009"	"2009"	"Male"	"M"	622	298675	208.3	8.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"2010"	"2010"	"Female"	"F"	339	308782	109.8	6.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2010"	"2010"	"Male"	"M"	666	300140	221.9	8.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"2011"	"2011"	"Female"	"F"	373	311918	119.6	6.2
	"Alabama"	"01"	"25-34 years"	"25-34"	"2011"	"2011"	"Male"	"M"	664	302589	219.4	8.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"2012"	"2012"	"Female"	"F"	343	313628	109.4	5.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	683	304129	224.6	8.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"2013"	"2013"	"Female"	"F"	331	314975	105.1	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	710	306009	232.0	8.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"2014"	"2014"	"Female"	"F"	335	318121	105.3	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	671	308266	217.7	8.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"2015"	"2015"	"Female"	"F"	378	321456	117.6	6.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2015"	"2015"	"Male"	"M"	691	311270	222.0	8.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"2016"	"2016"	"Female"	"F"	356	323643	110.0	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	817	313844	260.3	9.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"2017"	"2017"	"Female"	"F"	356	324960	109.6	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2017"	"2017"	"Male"	"M"	822	315342	260.7	9.1
	"Alabama"	"01"	"25-34 years"	"25-34"	"2018"	"2018"	"Female"	"F"	354	326143	108.5	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2018"	"2018"	"Male"	"M"	794	317397	250.2	8.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"2019"	"2019"	"Female"	"F"	363	327364	110.9	5.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2019"	"2019"	"Male"	"M"	795	319865	248.5	8.8
	"Alabama"	"01"	"25-34 years"	"25-34"	"2020 "	"2020"	"Female"	"F"	418	328597	127.2	6.2
	"Alabama"	"01"	"25-34 years"	"25-34"	"2020 "	"2020"	"Male"	"M"	953	321949	296.0	9.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"1999"	"1999"	"Female"	"F"	728	351301	207.2	7.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"1999"	"1999"	"Male"	"M"	1159	335631	345.3	10.1
	"Alabama"	"01"	"35-44 years"	"35-44"	"2000"	"2000"	"Female"	"F"	650	350582	185.4	7.3
	"Alabama"	"01"	"35-44 years"	"35-44"	"2000"	"2000"	"Male"	"M"	1186	334930	354.1	10.3
	"Alabama"	"01"	"35-44 years"	"35-44"	"2001"	"2001"	"Female"	"F"	713	346986	205.5	7.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"2001"	"2001"	"Male"	"M"	1132	331017	342.0	10.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2002"	"2002"	"Female"	"F"	701	340884	205.6	7.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"2002"	"2002"	"Male"	"M"	1105	325253	339.7	10.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2003"	"2003"	"Female"	"F"	674	335121	201.1	7.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"2003"	"2003"	"Male"	"M"	1215	320230	379.4	10.9
	"Alabama"	"01"	"35-44 years"	"35-44"	"2004"	"2004"	"Female"	"F"	736	330674	222.6	8.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2004"	"2004"	"Male"	"M"	1134	317137	357.6	10.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"2005"	"2005"	"Female"	"F"	679	328389	206.8	7.9
	"Alabama"	"01"	"35-44 years"	"35-44"	"2005"	"2005"	"Male"	"M"	1109	314366	352.8	10.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"2006"	"2006"	"Female"	"F"	743	328049	226.5	8.3
	"Alabama"	"01"	"35-44 years"	"35-44"	"2006"	"2006"	"Male"	"M"	1128	314657	358.5	10.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"2007"	"2007"	"Female"	"F"	712	325948	218.4	8.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2007"	"2007"	"Male"	"M"	1064	313008	339.9	10.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"2008"	"2008"	"Female"	"F"	675	322821	209.1	8.0
