"Year" "State" "Age" "Sex" "Deaths" "Population"
"2869" 2003 "Colorado" "35-44" "F" 465 353741
"2871" 2004 "Colorado" "35-44" "F" 426 349352
"2873" 2005 "Colorado" "35-44" "F" 375 348365
"2875" 2006 "Colorado" "35-44" "F" 417 347428
"2877" 2007 "Colorado" "35-44" "F" 416 346577
"2879" 2008 "Colorado" "35-44" "F" 418 344636
"2881" 2009 "Colorado" "35-44" "F" 430 342421
"2883" 2010 "Colorado" "35-44" "F" 367 341536
"2885" 2011 "Colorado" "35-44" "F" 391 341481
"2887" 2012 "Colorado" "35-44" "F" 387 344472
"2889" 2013 "Colorado" "35-44" "F" 378 347675
"2891" 2014 "Colorado" "35-44" "F" 410 351722
"2893" 2015 "Colorado" "35-44" "F" 419 356814
"2895" 2016 "Colorado" "35-44" "F" 429 361180
"2897" 2017 "Colorado" "35-44" "F" 431 369017
"2899" 2018 "Colorado" "35-44" "F" 428 378828
"2901" 2019 "Colorado" "35-44" "F" 467 387274
"2903" 2020 "Colorado" "35-44" "F" 563 395671
"3389" 1999 "Connecticut" "35-44" "F" 351 294958
"3391" 2000 "Connecticut" "35-44" "F" 364 295820
"3393" 2001 "Connecticut" "35-44" "F" 390 295550
"3395" 2002 "Connecticut" "35-44" "F" 365 293083
"3397" 2003 "Connecticut" "35-44" "F" 350 290114
"3399" 2004 "Connecticut" "35-44" "F" 368 285878
"3401" 2005 "Connecticut" "35-44" "F" 308 281653
"3403" 2006 "Connecticut" "35-44" "F" 271 276804
"3405" 2007 "Connecticut" "35-44" "F" 250 270438
"3407" 2008 "Connecticut" "35-44" "F" 275 263607
"3409" 2009 "Connecticut" "35-44" "F" 258 254677
"3411" 2010 "Connecticut" "35-44" "F" 265 248246
"3413" 2011 "Connecticut" "35-44" "F" 247 240043
"3415" 2012 "Connecticut" "35-44" "F" 220 234766
"3417" 2013 "Connecticut" "35-44" "F" 220 228763
"3419" 2014 "Connecticut" "35-44" "F" 195 224590
"3421" 2015 "Connecticut" "35-44" "F" 213 220400
"3423" 2016 "Connecticut" "35-44" "F" 209 216161
"3425" 2017 "Connecticut" "35-44" "F" 247 215736
"3427" 2018 "Connecticut" "35-44" "F" 245 215731
"3429" 2019 "Connecticut" "35-44" "F" 234 217286
"3431" 2020 "Connecticut" "35-44" "F" 320 219122
"3917" 1999 "Delaware" "35-44" "F" 112 64500
"3919" 2000 "Delaware" "35-44" "F" 123 64916
"3921" 2001 "Delaware" "35-44" "F" 123 65138
"3923" 2002 "Delaware" "35-44" "F" 96 64941
"3925" 2003 "Delaware" "35-44" "F" 103 64669
"3927" 2004 "Delaware" "35-44" "F" 106 64303
"3929" 2005 "Delaware" "35-44" "F" 98 64139
"3931" 2006 "Delaware" "35-44" "F" 109 63634
"3933" 2007 "Delaware" "35-44" "F" 111 63037
"3935" 2008 "Delaware" "35-44" "F" 95 61883
"3937" 2009 "Delaware" "35-44" "F" 84 60560
"3939" 2010 "Delaware" "35-44" "F" 97 59638
"3941" 2011 "Delaware" "35-44" "F" 74 58342
"3943" 2012 "Delaware" "35-44" "F" 89 57346
"3945" 2013 "Delaware" "35-44" "F" 86 56880
"3947" 2014 "Delaware" "35-44" "F" 85 56637
"3949" 2015 "Delaware" "35-44" "F" 98 56738
"3951" 2016 "Delaware" "35-44" "F" 71 56123
"3953" 2017 "Delaware" "35-44" "F" 86 56599
"3955" 2018 "Delaware" "35-44" "F" 91 56995
"3957" 2019 "Delaware" "35-44" "F" 116 57740
"3959" 2020 "Delaware" "35-44" "F" 122 59094
"4445" 1999 "District of Columbia" "35-44" "F" 130 44060
"4447" 2000 "District of Columbia" "35-44" "F" 146 43668
"4449" 2001 "District of Columbia" "35-44" "F" 155 43576
"4451" 2002 "District of Columbia" "35-44" "F" 119 42797
"4453" 2003 "District of Columbia" "35-44" "F" 140 41927
"4455" 2004 "District of Columbia" "35-44" "F" 122 41162
"4457" 2005 "District of Columbia" "35-44" "F" 106 40743
"4459" 2006 "District of Columbia" "35-44" "F" 134 40688
"4461" 2007 "District of Columbia" "35-44" "F" 95 40419
"4463" 2008 "District of Columbia" "35-44" "F" 104 39921
"4465" 2009 "District of Columbia" "35-44" "F" 80 39793
"4467" 2010 "District of Columbia" "35-44" "F" 68 40076
"4469" 2011 "District of Columbia" "35-44" "F" 66 40974
"4471" 2012 "District of Columbia" "35-44" "F" 67 42598
"4473" 2013 "District of Columbia" "35-44" "F" 58 45186
"4475" 2014 "District of Columbia" "35-44" "F" 75 46648
"4477" 2015 "District of Columbia" "35-44" "F" 59 48311
"4479" 2016 "District of Columbia" "35-44" "F" 61 49874
"4481" 2017 "District of Columbia" "35-44" "F" 75 51636
"4483" 2018 "District of Columbia" "35-44" "F" 65 53524
"4485" 2019 "District of Columbia" "35-44" "F" 70 55547
"4487" 2020 "District of Columbia" "35-44" "F" 86 57658
"4973" 1999 "Florida" "35-44" "F" 2065 1233241
"4975" 2000 "Florida" "35-44" "F" 2065 1247558
"4977" 2001 "Florida" "35-44" "F" 2115 1265334
"4979" 2002 "Florida" "35-44" "F" 2281 1272274
"4981" 2003 "Florida" "35-44" "F" 2219 1273859
"4983" 2004 "Florida" "35-44" "F" 2218 1282621
"4985" 2005 "Florida" "35-44" "F" 2112 1294257
"4987" 2006 "Florida" "35-44" "F" 2121 1298263
"4989" 2007 "Florida" "35-44" "F" 1906 1285548
"4991" 2008 "Florida" "35-44" "F" 1927 1264069
"4993" 2009 "Florida" "35-44" "F" 1862 1236870
"4995" 2010 "Florida" "35-44" "F" 1725 1222783
"4997" 2011 "Florida" "35-44" "F" 1650 1208751
"4999" 2012 "Florida" "35-44" "F" 1732 1209060
"5001" 2013 "Florida" "35-44" "F" 1652 1209992
"5003" 2014 "Florida" "35-44" "F" 1653 1221887
"5005" 2015 "Florida" "35-44" "F" 1704 1236849
"5007" 2016 "Florida" "35-44" "F" 1941 1243624
"5009" 2017 "Florida" "35-44" "F" 1940 1269925
"5011" 2018 "Florida" "35-44" "F" 1933 1294981
"5013" 2019 "Florida" "35-44" "F" 2033 1309915
"5015" 2020 "Florida" "35-44" "F" 2514 1331459
"5501" 1999 "Georgia" "35-44" "F" 1134 675072
"5503" 2000 "Georgia" "35-44" "F" 1174 683005
"5505" 2001 "Georgia" "35-44" "F" 1270 691870
"5507" 2002 "Georgia" "35-44" "F" 1219 693886
"5509" 2003 "Georgia" "35-44" "F" 1237 694709
"5511" 2004 "Georgia" "35-44" "F" 1173 696292
"5513" 2005 "Georgia" "35-44" "F" 1162 704287
"5515" 2006 "Georgia" "35-44" "F" 1195 715587
"5517" 2007 "Georgia" "35-44" "F" 1128 723180
"5519" 2008 "Georgia" "35-44" "F" 1127 724702
"5521" 2009 "Georgia" "35-44" "F" 1058 717945
"5523" 2010 "Georgia" "35-44" "F" 1068 712988
"5525" 2011 "Georgia" "35-44" "F" 1042 704843
"5527" 2012 "Georgia" "35-44" "F" 1015 704166
"5529" 2013 "Georgia" "35-44" "F" 1041 703343
"5531" 2014 "Georgia" "35-44" "F" 1074 703766
"5533" 2015 "Georgia" "35-44" "F" 1054 706318
"5535" 2016 "Georgia" "35-44" "F" 1120 704158
"5537" 2017 "Georgia" "35-44" "F" 1074 707317
"5539" 2018 "Georgia" "35-44" "F" 1121 710664
"5541" 2019 "Georgia" "35-44" "F" 1132 715145
"5543" 2020 "Georgia" "35-44" "F" 1379 721891
"6029" 1999 "Hawaii" "35-44" "F" 89 95342
"6031" 2000 "Hawaii" "35-44" "F" 118 94600
"6033" 2001 "Hawaii" "35-44" "F" 100 93530
"6035" 2002 "Hawaii" "35-44" "F" 93 92161
"6037" 2003 "Hawaii" "35-44" "F" 90 91196
"6039" 2004 "Hawaii" "35-44" "F" 108 91343
"6041" 2005 "Hawaii" "35-44" "F" 102 90727
"6043" 2006 "Hawaii" "35-44" "F" 124 90591
"6045" 2007 "Hawaii" "35-44" "F" 110 89573
"6047" 2008 "Hawaii" "35-44" "F" 87 88374
"6049" 2009 "Hawaii" "35-44" "F" 94 87502
"6051" 2010 "Hawaii" "35-44" "F" 97 87126
"6053" 2011 "Hawaii" "35-44" "F" 95 85829
"6055" 2012 "Hawaii" "35-44" "F" 99 85790
"6057" 2013 "Hawaii" "35-44" "F" 83 84897
"6059" 2014 "Hawaii" "35-44" "F" 80 85069
"6061" 2015 "Hawaii" "35-44" "F" 84 85344
"6063" 2016 "Hawaii" "35-44" "F" 89 87144
"6065" 2017 "Hawaii" "35-44" "F" 115 88348
"6067" 2018 "Hawaii" "35-44" "F" 87 89253
"6069" 2019 "Hawaii" "35-44" "F" 100 89712
"6071" 2020 "Hawaii" "35-44" "F" 91 89575
"6557" 1999 "Idaho" "35-44" "F" 128 96110
"6559" 2000 "Idaho" "35-44" "F" 112 95879
"6561" 2001 "Idaho" "35-44" "F" 129 95482
"6563" 2002 "Idaho" "35-44" "F" 121 94397
"6565" 2003 "Idaho" "35-44" "F" 118 93300
"6567" 2004 "Idaho" "35-44" "F" 111 93353
"6569" 2005 "Idaho" "35-44" "F" 111 94016
"6571" 2006 "Idaho" "35-44" "F" 136 95032
"6573" 2007 "Idaho" "35-44" "F" 135 95382
"6575" 2008 "Idaho" "35-44" "F" 122 95139
"6577" 2009 "Idaho" "35-44" "F" 124 94626
"6579" 2010 "Idaho" "35-44" "F" 120 94512
"6581" 2011 "Idaho" "35-44" "F" 117 94638
"6583" 2012 "Idaho" "35-44" "F" 126 95745
"6585" 2013 "Idaho" "35-44" "F" 116 97208
"6587" 2014 "Idaho" "35-44" "F" 129 98533
"6589" 2015 "Idaho" "35-44" "F" 139 99926
"6591" 2016 "Idaho" "35-44" "F" 139 101527
"6593" 2017 "Idaho" "35-44" "F" 133 104978
"6595" 2018 "Idaho" "35-44" "F" 140 108681
"6597" 2019 "Idaho" "35-44" "F" 140 112252
"6599" 2020 "Idaho" "35-44" "F" 161 115856
"7085" 1999 "Illinois" "35-44" "F" 1446 1001148
"7087" 2000 "Illinois" "35-44" "F" 1403 998801
"7089" 2001 "Illinois" "35-44" "F" 1366 990099
"7091" 2002 "Illinois" "35-44" "F" 1375 976565
"7093" 2003 "Illinois" "35-44" "F" 1324 961092
"7095" 2004 "Illinois" "35-44" "F" 1287 945900
"7097" 2005 "Illinois" "35-44" "F" 1194 932649
"7099" 2006 "Illinois" "35-44" "F" 1158 920995
"7101" 2007 "Illinois" "35-44" "F" 1160 908467
"7103" 2008 "Illinois" "35-44" "F" 1062 893467
"7105" 2009 "Illinois" "35-44" "F" 1029 877215
"7107" 2010 "Illinois" "35-44" "F" 942 866658
"7109" 2011 "Illinois" "35-44" "F" 966 854778
"7111" 2012 "Illinois" "35-44" "F" 925 849475
"7113" 2013 "Illinois" "35-44" "F" 914 844714
"7115" 2014 "Illinois" "35-44" "F" 941 842565
"7117" 2015 "Illinois" "35-44" "F" 932 836088
"7119" 2016 "Illinois" "35-44" "F" 976 824875
"7121" 2017 "Illinois" "35-44" "F" 990 820537
"7123" 2018 "Illinois" "35-44" "F" 1022 820353
"7125" 2019 "Illinois" "35-44" "F" 1030 818305
"7127" 2020 "Illinois" "35-44" "F" 1248 817408
"7613" 1999 "Indiana" "35-44" "F" 629 483409
"7615" 2000 "Indiana" "35-44" "F" 675 482393
"7617" 2001 "Indiana" "35-44" "F" 694 477664
"7619" 2002 "Indiana" "35-44" "F" 700 470396
"7621" 2003 "Indiana" "35-44" "F" 700 462506
"7623" 2004 "Indiana" "35-44" "F" 686 455331
"7625" 2005 "Indiana" "35-44" "F" 694 450411
"7627" 2006 "Indiana" "35-44" "F" 678 446549
"7629" 2007 "Indiana" "35-44" "F" 630 440953
"7631" 2008 "Indiana" "35-44" "F" 662 433724
"7633" 2009 "Indiana" "35-44" "F" 656 424816
"7635" 2010 "Indiana" "35-44" "F" 572 419789
"7637" 2011 "Indiana" "35-44" "F" 662 414401
"7639" 2012 "Indiana" "35-44" "F" 576 412028
"7641" 2013 "Indiana" "35-44" "F" 607 412271
"7643" 2014 "Indiana" "35-44" "F" 669 411860
"7645" 2015 "Indiana" "35-44" "F" 673 411254
"7647" 2016 "Indiana" "35-44" "F" 676 407913
"7649" 2017 "Indiana" "35-44" "F" 728 408962
"7651" 2018 "Indiana" "35-44" "F" 745 411942
"7653" 2019 "Indiana" "35-44" "F" 750 415428
"7655" 2020 "Indiana" "35-44" "F" 835 418576
"8141" 1999 "Iowa" "35-44" "F" 245 224126
"8143" 2000 "Iowa" "35-44" "F" 222 222587
"8145" 2001 "Iowa" "35-44" "F" 261 218151
"8147" 2002 "Iowa" "35-44" "F" 219 213194
"8149" 2003 "Iowa" "35-44" "F" 257 207946
"8151" 2004 "Iowa" "35-44" "F" 207 204321
"8153" 2005 "Iowa" "35-44" "F" 236 200016
"8155" 2006 "Iowa" "35-44" "F" 255 196645
"8157" 2007 "Iowa" "35-44" "F" 224 191950
"8159" 2008 "Iowa" "35-44" "F" 235 186895
"8161" 2009 "Iowa" "35-44" "F" 232 182074
"8163" 2010 "Iowa" "35-44" "F" 199 180164
"8165" 2011 "Iowa" "35-44" "F" 228 177817
"8167" 2012 "Iowa" "35-44" "F" 197 177162
"8169" 2013 "Iowa" "35-44" "F" 200 178404
"8171" 2014 "Iowa" "35-44" "F" 203 178941
"8173" 2015 "Iowa" "35-44" "F" 213 180763
"8175" 2016 "Iowa" "35-44" "F" 229 181012
"8177" 2017 "Iowa" "35-44" "F" 228 183830
"8179" 2018 "Iowa" "35-44" "F" 222 186539
"8181" 2019 "Iowa" "35-44" "F" 237 189018
"8183" 2020 "Iowa" "35-44" "F" 264 191500
"8669" 1999 "Kansas" "35-44" "F" 263 211678
"8671" 2000 "Kansas" "35-44" "F" 279 210023
"8673" 2001 "Kansas" "35-44" "F" 293 206172
"8675" 2002 "Kansas" "35-44" "F" 313 201505
"8677" 2003 "Kansas" "35-44" "F" 283 196306
"8679" 2004 "Kansas" "35-44" "F" 261 191957
"8681" 2005 "Kansas" "35-44" "F" 281 188364
"8683" 2006 "Kansas" "35-44" "F" 281 184751
"8685" 2007 "Kansas" "35-44" "F" 254 180928
"8687" 2008 "Kansas" "35-44" "F" 219 176793
"8689" 2009 "Kansas" "35-44" "F" 223 173149
"8691" 2010 "Kansas" "35-44" "F" 211 171813
"8693" 2011 "Kansas" "35-44" "F" 235 170132
"8695" 2012 "Kansas" "35-44" "F" 254 169824
"8697" 2013 "Kansas" "35-44" "F" 237 169903
"8699" 2014 "Kansas" "35-44" "F" 215 170227
"8701" 2015 "Kansas" "35-44" "F" 246 170510
"8703" 2016 "Kansas" "35-44" "F" 232 171008
"8705" 2017 "Kansas" "35-44" "F" 252 173358
"8707" 2018 "Kansas" "35-44" "F" 255 175989
"8709" 2019 "Kansas" "35-44" "F" 260 178452
"8711" 2020 "Kansas" "35-44" "F" 313 180633
"9197" 1999 "Kentucky" "35-44" "F" 505 324696
"9199" 2000 "Kentucky" "35-44" "F" 505 325137
"9201" 2001 "Kentucky" "35-44" "F" 580 321940
"9203" 2002 "Kentucky" "35-44" "F" 567 317609
"9205" 2003 "Kentucky" "35-44" "F" 555 313124
"9207" 2004 "Kentucky" "35-44" "F" 540 309138
"9209" 2005 "Kentucky" "35-44" "F" 542 305949
"9211" 2006 "Kentucky" "35-44" "F" 528 304767
"9213" 2007 "Kentucky" "35-44" "F" 557 300834
"9215" 2008 "Kentucky" "35-44" "F" 517 296772
"9217" 2009 "Kentucky" "35-44" "F" 589 290723
"9219" 2010 "Kentucky" "35-44" "F" 522 287181
"9221" 2011 "Kentucky" "35-44" "F" 552 284224
"9223" 2012 "Kentucky" "35-44" "F" 553 282257
"9225" 2013 "Kentucky" "35-44" "F" 547 282086
"9227" 2014 "Kentucky" "35-44" "F" 589 280130
"9229" 2015 "Kentucky" "35-44" "F" 590 279484
"9231" 2016 "Kentucky" "35-44" "F" 666 276484
"9233" 2017 "Kentucky" "35-44" "F" 647 275764
"9235" 2018 "Kentucky" "35-44" "F" 625 276761
"9237" 2019 "Kentucky" "35-44" "F" 610 276619
"9239" 2020 "Kentucky" "35-44" "F" 735 276702
"9725" 1999 "Louisiana" "35-44" "F" 667 356925
"9727" 2000 "Louisiana" "35-44" "F" 681 354616
"9729" 2001 "Louisiana" "35-44" "F" 719 348948
"9731" 2002 "Louisiana" "35-44" "F" 708 343017
"9733" 2003 "Louisiana" "35-44" "F" 727 337732
"9735" 2004 "Louisiana" "35-44" "F" 710 332334
"9737" 2005 "Louisiana" "35-44" "F" 722 326311
"9739" 2006 "Louisiana" "35-44" "F" 625 301220
"9741" 2007 "Louisiana" "35-44" "F" 608 297767
"9743" 2008 "Louisiana" "35-44" "F" 590 292675
"9745" 2009 "Louisiana" "35-44" "F" 546 287409
"9747" 2010 "Louisiana" "35-44" "F" 561 284897
"9749" 2011 "Louisiana" "35-44" "F" 558 282292
"9751" 2012 "Louisiana" "35-44" "F" 560 282579
"9753" 2013 "Louisiana" "35-44" "F" 576 284144
"9755" 2014 "Louisiana" "35-44" "F" 568 286475
"9757" 2015 "Louisiana" "35-44" "F" 574 288662
"9759" 2016 "Louisiana" "35-44" "F" 598 289680
"9761" 2017 "Louisiana" "35-44" "F" 626 292595
"9763" 2018 "Louisiana" "35-44" "F" 608 295620
"9765" 2019 "Louisiana" "35-44" "F" 618 299636
"9767" 2020 "Louisiana" "35-44" "F" 762 304146
"10253" 1999 "Maine" "35-44" "F" 108 109011
"10255" 2000 "Maine" "35-44" "F" 113 108951
"10257" 2001 "Maine" "35-44" "F" 129 107850
"10259" 2002 "Maine" "35-44" "F" 122 106557
"10261" 2003 "Maine" "35-44" "F" 132 105026
"10263" 2004 "Maine" "35-44" "F" 126 102862
"10265" 2005 "Maine" "35-44" "F" 121 100813
"10267" 2006 "Maine" "35-44" "F" 126 98517
"10269" 2007 "Maine" "35-44" "F" 90 95970
"10271" 2008 "Maine" "35-44" "F" 126 92886
"10273" 2009 "Maine" "35-44" "F" 104 89567
"10275" 2010 "Maine" "35-44" "F" 112 87117
"10277" 2011 "Maine" "35-44" "F" 115 84365
"10279" 2012 "Maine" "35-44" "F" 75 82226
"10281" 2013 "Maine" "35-44" "F" 99 80336
"10283" 2014 "Maine" "35-44" "F" 101 78930
"10285" 2015 "Maine" "35-44" "F" 96 77495
"10287" 2016 "Maine" "35-44" "F" 125 76367
"10289" 2017 "Maine" "35-44" "F" 93 76830
"10291" 2018 "Maine" "35-44" "F" 98 77296
"10293" 2019 "Maine" "35-44" "F" 123 78089
"10295" 2020 "Maine" "35-44" "F" 135 79388
"10781" 1999 "Maryland" "35-44" "F" 736 469739
"10783" 2000 "Maryland" "35-44" "F" 754 472402
"10785" 2001 "Maryland" "35-44" "F" 776 474358
"10787" 2002 "Maryland" "35-44" "F" 782 473253
"10789" 2003 "Maryland" "35-44" "F" 747 469483
"10791" 2004 "Maryland" "35-44" "F" 704 465101
"10793" 2005 "Maryland" "35-44" "F" 706 459857
"10795" 2006 "Maryland" "35-44" "F" 700 453313
"10797" 2007 "Maryland" "35-44" "F" 670 443819
"10799" 2008 "Maryland" "35-44" "F" 573 432584
"10801" 2009 "Maryland" "35-44" "F" 566 419481
"10803" 2010 "Maryland" "35-44" "F" 515 413095
"10805" 2011 "Maryland" "35-44" "F" 521 404855
"10807" 2012 "Maryland" "35-44" "F" 466 401067
"10809" 2013 "Maryland" "35-44" "F" 469 396926
"10811" 2014 "Maryland" "35-44" "F" 494 395808
"10813" 2015 "Maryland" "35-44" "F" 474 394148
"10815" 2016 "Maryland" "35-44" "F" 549 390613
"10817" 2017 "Maryland" "35-44" "F" 540 393993
"10819" 2018 "Maryland" "35-44" "F" 570 396387
"10821" 2019 "Maryland" "35-44" "F" 543 400709
"10823" 2020 "Maryland" "35-44" "F" 720 405456
"11309" 1999 "Massachusetts" "35-44" "F" 597 537544
"11311" 2000 "Massachusetts" "35-44" "F" 649 540650
"11313" 2001 "Massachusetts" "35-44" "F" 702 539274
"11315" 2002 "Massachusetts" "35-44" "F" 628 533707
"11317" 2003 "Massachusetts" "35-44" "F" 654 526215
"11319" 2004 "Massachusetts" "35-44" "F" 571 516529
"11321" 2005 "Massachusetts" "35-44" "F" 568 508010
"11323" 2006 "Massachusetts" "35-44" "F" 482 499020
"11325" 2007 "Massachusetts" "35-44" "F" 521 487613
"11327" 2008 "Massachusetts" "35-44" "F" 468 476642
"11329" 2009 "Massachusetts" "35-44" "F" 479 463282
"11331" 2010 "Massachusetts" "35-44" "F" 427 454740
"11333" 2011 "Massachusetts" "35-44" "F" 448 443326
"11335" 2012 "Massachusetts" "35-44" "F" 446 436908
"11337" 2013 "Massachusetts" "35-44" "F" 450 430436
"11339" 2014 "Massachusetts" "35-44" "F" 463 428130
"11341" 2015 "Massachusetts" "35-44" "F" 437 426162
"11343" 2016 "Massachusetts" "35-44" "F" 475 421279
"11345" 2017 "Massachusetts" "35-44" "F" 526 422976
"11347" 2018 "Massachusetts" "35-44" "F" 513 427098
"11349" 2019 "Massachusetts" "35-44" "F" 496 430708
"11351" 2020 "Massachusetts" "35-44" "F" 569 435851
"11837" 1999 "Michigan" "35-44" "F" 1182 808984
"11839" 2000 "Michigan" "35-44" "F" 1263 805139
"11841" 2001 "Michigan" "35-44" "F" 1237 793824
"11843" 2002 "Michigan" "35-44" "F" 1206 778516
"11845" 2003 "Michigan" "35-44" "F" 1098 762546
"11847" 2004 "Michigan" "35-44" "F" 1078 748309
"11849" 2005 "Michigan" "35-44" "F" 1111 735341
