"Notes"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"2008"	"2008"	"50-54 years"	"50-54"	883	1597310	55.3
	"2008"	"2008"	"55-59 years"	"55-59"	1020	1336272	76.3
	"2008"	"2008"	"60-64 years "	"60-64"	1181	1063618	111.0
	"2008"	"2008"	"65-69 years"	"65-69"	1198	779327	153.7
	"2008"	"2008"	"70-74 years"	"70-74"	1052	593305	177.3
	"2008"	"2008"	"75-79 years"	"75-79"	1059	466994	226.8
	"2008"	"2008"	"80-84 years"	"80-84"	918	338651	271.1
	"2009"	"2009"	"45-49 years"	"45-49"	514	1760915	29.2
	"2009"	"2009"	"50-54 years"	"50-54"	917	1640523	55.9
	"2009"	"2009"	"55-59 years"	"55-59"	1085	1384460	78.4
	"2009"	"2009"	"60-64 years "	"60-64"	1184	1123692	105.4
	"2009"	"2009"	"65-69 years"	"65-69"	1222	822427	148.6
	"2009"	"2009"	"70-74 years"	"70-74"	1072	609823	175.8
	"2009"	"2009"	"75-79 years"	"75-79"	1019	471366	216.2
	"2009"	"2009"	"80-84 years"	"80-84"	835	342362	243.9
	"2010"	"2010"	"45-49 years"	"45-49"	554	1757591	31.5
	"2010"	"2010"	"50-54 years"	"50-54"	897	1682531	53.3
	"2010"	"2010"	"55-59 years"	"55-59"	1043	1435230	72.7
	"2010"	"2010"	"60-64 years "	"60-64"	1172	1188280	98.6
	"2010"	"2010"	"65-69 years"	"65-69"	1196	859785	139.1
	"2010"	"2010"	"70-74 years"	"70-74"	1003	624314	160.7
	"2010"	"2010"	"75-79 years"	"75-79"	1001	478730	209.1
	"2010"	"2010"	"80-84 years"	"80-84"	911	349254	260.8
	"2011"	"2011"	"45-49 years"	"45-49"	481	1737990	27.7
	"2011"	"2011"	"50-54 years"	"50-54"	939	1712380	54.8
	"2011"	"2011"	"55-59 years"	"55-59"	1123	1483204	75.7
	"2011"	"2011"	"60-64 years "	"60-64"	1224	1250315	97.9
	"2011"	"2011"	"65-69 years"	"65-69"	1207	889887	135.6
	"2011"	"2011"	"70-74 years"	"70-74"	1028	647169	158.8
	"2011"	"2011"	"75-79 years"	"75-79"	998	488532	204.3
	"2011"	"2011"	"80-84 years"	"80-84"	832	355587	234.0
	"2012"	"2012"	"45-49 years"	"45-49"	536	1719097	31.2
	"2012"	"2012"	"50-54 years"	"50-54"	942	1731031	54.4
	"2012"	"2012"	"55-59 years"	"55-59"	1117	1537391	72.7
	"2012"	"2012"	"60-64 years "	"60-64"	1270	1263512	100.5
	"2012"	"2012"	"65-69 years"	"65-69"	1218	969396	125.6
	"2012"	"2012"	"70-74 years"	"70-74"	1126	675584	166.7
	"2012"	"2012"	"75-79 years"	"75-79"	963	498628	193.1
	"2012"	"2012"	"80-84 years"	"80-84"	794	361702	219.5
	"2013"	"2013"	"45-49 years"	"45-49"	566	1702689	33.2
	"2013"	"2013"	"50-54 years"	"50-54"	1032	1744569	59.2
	"2013"	"2013"	"55-59 years"	"55-59"	1072	1577554	68.0
	"2013"	"2013"	"60-64 years "	"60-64"	1277	1295048	98.6
	"2013"	"2013"	"65-69 years"	"65-69"	1335	1019344	131.0
	"2013"	"2013"	"70-74 years"	"70-74"	1149	715662	160.6
	"2013"	"2013"	"75-79 years"	"75-79"	995	512579	194.1
	"2013"	"2013"	"80-84 years"	"80-84"	799	366269	218.1
	"2014"	"2014"	"45-49 years"	"45-49"	553	1702757	32.5
	"2014"	"2014"	"50-54 years"	"50-54"	999	1757508	56.8
	"2014"	"2014"	"55-59 years"	"55-59"	1219	1614121	75.5
	"2014"	"2014"	"60-64 years "	"60-64"	1300	1336429	97.3
	"2014"	"2014"	"65-69 years"	"65-69"	1430	1070344	133.6
	"2014"	"2014"	"70-74 years"	"70-74"	1117	753757	148.2
	"2014"	"2014"	"75-79 years"	"75-79"	935	528166	177.0
	"2014"	"2014"	"80-84 years"	"80-84"	843	371615	226.8
	"2015"	"2015"	"45-49 years"	"45-49"	591	1733684	34.1
	"2015"	"2015"	"50-54 years"	"50-54"	1041	1753505	59.4
	"2015"	"2015"	"55-59 years"	"55-59"	1275	1651212	77.2
	"2015"	"2015"	"60-64 years "	"60-64"	1371	1384211	99.0
	"2015"	"2015"	"65-69 years"	"65-69"	1498	1124416	133.2
	"2015"	"2015"	"70-74 years"	"70-74"	1221	787578	155.0
	"2015"	"2015"	"75-79 years"	"75-79"	1008	542968	185.6
	"2015"	"2015"	"80-84 years"	"80-84"	744	379002	196.3
	"2016"	"2016"	"45-49 years"	"45-49"	585	1782369	32.8
	"2016"	"2016"	"50-54 years"	"50-54"	1014	1735756	58.4
	"2016"	"2016"	"55-59 years"	"55-59"	1237	1679675	73.6
	"2016"	"2016"	"60-64 years "	"60-64"	1363	1430041	95.3
	"2016"	"2016"	"65-69 years"	"65-69"	1487	1182854	125.7
	"2016"	"2016"	"70-74 years"	"70-74"	1187	814530	145.7
	"2016"	"2016"	"75-79 years"	"75-79"	980	563782	173.8
	"2016"	"2016"	"80-84 years"	"80-84"	791	387337	204.2
	"2017"	"2017"	"45-49 years"	"45-49"	621	1819660	34.1
	"2017"	"2017"	"50-54 years"	"50-54"	1072	1715045	62.5
	"2017"	"2017"	"55-59 years"	"55-59"	1278	1694487	75.4
	"2017"	"2017"	"60-64 years "	"60-64"	1461	1477997	98.8
	"2017"	"2017"	"65-69 years"	"65-69"	1628	1191787	136.6
	"2017"	"2017"	"70-74 years"	"70-74"	1234	889228	138.8
	"2017"	"2017"	"75-79 years"	"75-79"	1023	588993	173.7
	"2017"	"2017"	"80-84 years"	"80-84"	776	395891	196.0
	"2018"	"2018"	"45-49 years"	"45-49"	685	1840330	37.2
	"2018"	"2018"	"50-54 years"	"50-54"	1140	1700011	67.1
	"2018"	"2018"	"55-59 years"	"55-59"	1360	1707712	79.6
	"2018"	"2018"	"60-64 years "	"60-64"	1500	1515948	98.9
	"2018"	"2018"	"65-69 years"	"65-69"	1617	1222188	132.3
	"2018"	"2018"	"70-74 years"	"70-74"	1421	935971	151.8
	"2018"	"2018"	"75-79 years"	"75-79"	1101	625015	176.2
	"2018"	"2018"	"80-84 years"	"80-84"	808	407413	198.3
	"2019"	"2019"	"45-49 years"	"45-49"	646	1850542	34.9
	"2019"	"2019"	"50-54 years"	"50-54"	1103	1698077	65.0
	"2019"	"2019"	"55-59 years"	"55-59"	1315	1719371	76.5
	"2019"	"2019"	"60-64 years "	"60-64"	1552	1549940	100.1
	"2019"	"2019"	"65-69 years"	"65-69"	1667	1260149	132.3
	"2019"	"2019"	"70-74 years"	"70-74"	1397	983694	142.0
	"2019"	"2019"	"75-79 years"	"75-79"	1092	658167	165.9
	"2019"	"2019"	"80-84 years"	"80-84"	851	419389	202.9
	"2020"	"2020"	"45-49 years"	"45-49"	649	1850386	35.1
	"2020"	"2020"	"50-54 years"	"50-54"	944	1726449	54.7
	"2020"	"2020"	"55-59 years"	"55-59"	1107	1713628	64.6
	"2020"	"2020"	"60-64 years "	"60-64"	1325	1585096	83.6
	"2020"	"2020"	"65-69 years"	"65-69"	1461	1305244	111.9
	"2020"	"2020"	"70-74 years"	"70-74"	1333	1034668	128.8
	"2020"	"2020"	"75-79 years"	"75-79"	985	687927	143.2
	"2020"	"2020"	"80-84 years"	"80-84"	704	431914	163.0
